Particulars,"September 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
"Non- Current
Provision for employee benefits:
Provision for Gratuity (Refer note: 38)",5.79,4.74,3.93,3.13
Total,5.79,4.74,3.93,3 .13
"Current
Provision for employee benefits:
Provision for Gratuity (Refer note: 38)
Provison for Leave encashment","2.22
0.36","0.16
0.09","0.14
-","0.12
-"
Total,2.58,0.25,0.14,0 .12
