Particulars,"As at January 31, 2025","March 31, 2024","March 31, 2023"
"Purchase consideration
Add: Applicable Taxes
Total","1,623.01
47.95
1,670.96","1,623.01
47.95
1,670.96","1,623.01
47.95
1,670.96"
"Net assets of Diamond business:
- Inventory
- Employee related liabilities (including defined
benefit obligations)
- Goods and service taxes
- Deferred tax asset
- Trade Payable
- Other Financial Liablities
Net assets
Accumulated profit earned from diamond
business
Capital Reserve","1 ,627.67
( 4.67)
47.95
1 .16
-
-
1,672.11
1 ,462.61
1,461.46","1,489.59
(4.07)
-
1.02
(191.51)
(0.47)
1,294.56
9 35.02
1,311.42","1 ,149.00
(3.25)
-
0.82
(82.66)
(0.39)
1,063.52
5 14.67
1,122.11"
