Particulars,"March 31, 2024","March 31, 2023"
"Name of Partners
Govind Gadgil
Renu Gadgil
Sunita Modak","(%) of profit
sharing
51.00%
33.00%
16.00%","(%) of profit
sharing
51.00%
33.00%
16.00%"
Total,100.0%,100.00%
