Particulars,"September 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
"Opening balance
Tax income/(expense) during the year recognised in restated
statement of profit and loss
Tax income/(expense) during the year recognised in restated
statement of other comprehensive income","1.36
2.49
0.05","1.02
1 .46
( 1.14)","0.82
0.17
0.04","0.68
0 .12
0.01"
Closing balance,3.90,1.36,1.02,0.82
