Description of relationship,Name of related parties
The Holding company,LG Electronics Inc.
"Fellow subsidiaries
(Controlled by the Holding company)","LG Soft India Private Limited
LG CNS Co. Ltd.
LG CNS India Private Limited
S&I Corp.
LG Display Co. Ltd.
LG Electronics (Huizhou) Inc.
LG Electronics (Levant) Jordan
LG Electronics Thailand Co., Ltd.
LG Electronics Africa Logistics FZE
LG Electronics Alabama, Inc.
LG Electronics Almaty Kazakhstan LLP (Formerly ""LG Electronics Almaty Kazakhstan Co. Ltd."")
LG Electronics Australia Pty., Ltd
LG Electronics Dubai FZE
LG Electronics Gulf FZE
LG Electronics Mexico Monterrey S.A.De C.V.
LG Electronics S.A.(Pty) Ltd.
LG Electronics Singapore Pte Ltd
LG Electronics Taiwan Taipei Co.Ltd.
LG Electronics HK Ltd.
LG Electronics Tianjin Appliances Co. Ltd.
PT. LG Electronics Indonesia
PT. LG Innotek Indonesia
LG Electronics Inc. Chile Limited
LG Electronics Middle East Company FZCO (Formerly ""LG Electronics Middle East Co. Ltd."")
LG Electronics Morocco S.A.R.L.
LG Electronics Panama S.A.
LG Electronics Philippines Inc.
LG Electronics Polska LLC (Formerly ""LG Electronics Polska Sp.z o.o"")
Nanjing LG Panda Appliances Co., Ltd.
LG Electronics Magyar Kft.
LG Electronics (Kunshan) Co. Ltd
LG Electronics Qinhuangdao Co. Ltd.
Taizhou LG Electronics Refrigeration Co. Ltd.
LG Electronics Vietnam Haiphong Co. Ltd.
LG Electronics Hellas Single Member S.A.
LG Electronics Nanjing New Technology Co.,Ltd
LG Electronics Air-Conditioning(Shandong) Co. Ltd.
LG Electronics (M) Sdn. Bhd
LG Electronics Mexico S.A. DE C.V.
LG Electronics Egypt S.A.E
LG Electronics Mlawa LLC (Formerly ""LG Electronics Mlawa Sp. z o.o"")
LG Electronics Nanjing Display Co., Ltd
LG Electronics (China) Co., Ltd.
LG Electronics Argentina S.A.
LG Electronics Peru S.A.
PT. LG Electronics Service Indonesia
LG Electronics Canada, Inc.
LG Electronics Ticaret A.S.
LG Innotek Yantai Co., Ltd
Arcelik-LG Klima Sanayi ve Ticaret A.S.
Hi-M.Solutek India Private Limited
LG-Shaker Co. Ltd.
LG Electronics Overseas Trading FZE
Robostar Co., Ltd
LG Electronics Wroclaw Sp. z o.o
LG Electronics RUS, LLC
LG Electronics France S.A.S
LG-MRI LLC
LG Electronics Saudi Arabia LLC
LG Electronics Algeria SARL
LG Electronics European Shared Service Center B.V.
LG Electronics do Brasil Ltda."
