"Balance as at
April 01, 2024",,"Amount required to
be spent during the
period","Additional amount
required to be spent on
account of interest
earned on bank
deposits made out of
separate CSR unspent
account
(Net of tax)","Amount spent during the
period",,"Balance as at
June 30, 2024",
With the Company,"In separate CSR
unspent account",,,"From the Company's
bank account","From separate CSR
unspent account",With the Company,"In separate CSR
unspent account"
INR,INR,INR,INR,INR,INR,INR,INR
3 32.97,5 71.30,90.63,4 .43,0 .27,19.95,9 0.36,888.75
