IPO,LatestYear,NetProfitMargin,ROA,DebtEquityRatio,RevenueGrowth,ProfitGrowth,NetProfitMargin_avg,ROA_avg,DebtEquityRatio_avg,RevenueGrowth_avg,ProfitGrowth_avg,CompositeScore,Rank,Category
INNOVISION LIMITED - RHP,2025,22201.503759398493,2762.207670720299,0.072206751673262,inf,148.28050113512143,700.6884208250133,162.92748134767723,0.1642219929699154,8967.900283601111,85.20362028725849,1604.6109567547219,1,Better
ICICI Prudential Asset Management Company Limited - RHP,2025,3.191744660427166,0.1496866989862384,0.05970501311207,79.98056365403303,-2.3853211009174258,359.02554610014096,0.17199961241757622,6.048863975304368,8967.900283601111,-0.16269800364223652,1451.7096636778883,2,Better
KSH INTERNATIONAL LIMITED - RHP,2025,119.3225558121632,0.3907815883884923,88.84497145366711,-64.61936538199646,29.166666666666675,284.0022482785743,0.3907815883884923,6.048863975304368,3589.1903173090022,85.20362028725849,630.9875067106847,3,Better
Groww Billionbrains Garage Ventures Limited - RHP,2025,2646.7423000478752,145.70528824421092,0.3288098667304314,30.906846453328264,-326.50356943323607,700.6884208250133,162.92748134767723,0.4568177788578068,24.457233177358884,-70.36119459398243,247.47949854585733,4,Better
Bharat Coking Coal Limited - RHP,2025,196.0,0.0287685307500366,-384.825,0.0,-81.43939393939394,442.19951338199513,-0.27755394988727716,0.0,-41.588626882787615,12.607113206428274,127.61288281535138,5,Better
LG ELECTRONICS INDIA LIMITED - RHP,2025,100.0,100.0,0.0666666666666666,0.0,0.0,100.0,100.0,0.060666666666666626,0.0,0.0,54.98786666666667,6,Better
CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP,2025,31.71593524700869,,0.0,21.35811945587496,32.525882797130535,27.387288464480594,0.0,0.0,23.181855361698645,51.078892318810674,16.80135407548004,7,Better
CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP,2029,,,,,,0.3409772407720527,51.0,0.0,0.0,0.0,12.852293172231615,8,Moderate
OMNITECH ENGINEERING LIMITED - RHP,2025,-0.9040189173178936,,5.741288212353755,92.45323723201255,0.0,-1.3219162944429854,0.0,5.492153068244406,92.45323723201255,0.0,12.372980082820105,9,Moderate
SHREE RAM TWISTEX LIMITED - RHP,2025,,,,,0.0,1.5319991051524076,0.0,0.0,0.0494315373208209,0.0,0.4670144621438454,10,Moderate
PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP,2025,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
AYE FINANCE LIMITED - RHP,2025,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
SAI PARENTERAL_S LIMITED - RHP,2025,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
SEDEMAC MECHATRONICS LIMITED - RHP,2031,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
RHP_Amir Chand Jagdish Kumar _Exports_ Limited,2033,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
FRACTAL ANALYTICS LIMITED - RHP,2025,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,Not Recommended
SHADOWFAX TECHNOLOGIES LIMITED - RHP,2025,,0.6232155049345168,0.0001715856969623,,-34.66856445709637,0.0,0.9926928908793247,0.020957837264335102,0.0,-70.36119459398243,-6.792137804131279,17,Not Recommended
amirchand jagdish kumar,2025,0.3143006809848088,,,-52.86896882044041,-78.57142857142858,0.8142822923686529,0.0,0.0,-20.458669042613785,-62.36263736263737,-9.060779404945208,18,Not Recommended
BCCL,2025,0.3143006809848088,,,-52.86896882044041,-78.57142857142858,0.8142822923686529,0.0,0.0,-20.458669042613785,-62.36263736263737,-9.060779404945208,18,Not Recommended
GSP CROP SCIENCE LIMITED - RHP,2025,-0.2131966348095621,-60.0,,-26.721091930728434,0.0,-0.17300410442430117,-55.17516802007501,0.0,-15.485852100363623,0.0,-16.168571051400587,20,Not Recommended
Meesho Limited -RHP,2025,0.0556162649946384,,,-5574009.0,0.0,-55.227386137302794,0.0,0.0,-41.588626882787615,0.0,-22.80650987360898,21,Not Recommended
CORONA Remedies Limited - RHP,2025,-58.06451612903226,-58.06451612903226,,0.0,0.0,-55.227386137302794,-55.17516802007501,0.0,0.0,0.0,-30.362007846209593,22,Not Recommended
