IPO,Year,Revenue,Profit,TotalAssets,TotalLiabilities,NetProfitMargin,ROA,DebtEquityRatio,RevenueGrowth,ProfitGrowth
Bharat Coking Coal Limited - RHP,2025.0,1.0,1.96,6813.0,0.0,196.0,0.0287685307500366,-384.825,0.0,-81.43939393939394
CORONA Remedies Limited - RHP,2025.0,31.0,-18.0,31.0,62.0,-58.06451612903226,-58.06451612903226,,0.0,0.0
Groww Billionbrains Garage Ventures Limited - RHP,2025.0,689.29,18243.73,12520.98,,2646.7423000478752,145.70528824421092,0.3288098667304314,30.906846453328264,-326.50356943323607
ICICI Prudential Asset Management Company Limited - RHP,2025.0,1666.8,53.2,35540.9,6712.5,3.191744660427166,0.1496866989862384,0.05970501311207,79.98056365403303,-2.3853211009174258
KSH INTERNATIONAL LIMITED - RHP,2025.0,25.98,31.0,7932.82,4.89,119.3225558121632,0.3907815883884923,88.84497145366711,-64.61936538199646,29.166666666666675
Meesho Limited -RHP,2025.0,55739.09,31.0,,,0.0556162649946384,,,-5574009.0,0.0
