Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,1.0,7.0,,,13.74,2023.0
2024,73.43,24.0,,0.35,16.17,2023.0
2025,25.98,31.0,7932.82,4.89,22.77,2023.0
