Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,30.0,30.0,30.0,30.0,30.0,1.71
2024,30.0,30.0,30.0,30.0,30.0,1.75
2025,30.0,30.0,30.0,30.0,30.0,2.0
