Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,12033.09,-18.0,30.0,30.0,3637.85,
2024,11521.61,-18.0,30.0,30.0,3704.27,
2025,8442.91,-18.0,30.0,30.0,5299.4,
