Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,12033.09,-18.0,30.0,30.0,3637.85,,,-0.14958751243446197,-60.0,,
2024,11521.61,-18.0,30.0,30.0,3704.27,,,-0.15622816602887962,-60.0,-4.25061226999881,0.0
2025,8442.91,-18.0,30.0,30.0,5299.4,,,-0.21319663480956214,-60.0,-26.721091930728434,0.0
