,Name of the Promoter,,,Name of the entity,,,Date of disassociation,,,Reason,
Anil Kumar Karusala,,,"Rohini Solar Private
Limited",,,"March 31, 2025",,,"Resignation due to
preoccupation-",,
,,,"Aanandi Hotels &
Resorts Private Limited",,,"August 31, 2023",,,"Resignation due to
preoccupation-",,
