"I Revenue from operations
II Other income
III Total income (I+II)
IV Expenses
Cost of material consumed
Changes in inventories of finished goods and work-in-progress
Employee benefits expense
Finance costs
Depreciation and amortisation expense
Other expenses
Total expenses (IV)
V Profit Before Tax (III-IV)
VI Tax expenses:
(1) Current tax
(2) Deferred tax
(3) Adjustment of tax relating to earlier periods
Total Tax Expense (VI)
VII Profit for the period from continuing operations (V-VI)
VIII Profit/(Loss) from discountinued operations
IX Tax expenses from discountinued operations
X Profit from discountinued operations (after tax) (VIII-IX)
XI Profit for the period (VII+X)
XII Other comprehensive income
A. (i) Items that will not be reclassified to profit or loss
(a) Re-measurement gains/ (losses) on defined benefit plans
(ii)Income tax relating to items that will not be reclassified to profit or loss
B. (i) Items that will be reclassified to profit or loss
(ii) lncome tax relating to items that will be reclassified to profit or loss
Total other comprehensive income for the year, net of tax (A + B)
XIII Total Comprehensive income for the period (XI+XII)
Total Profit Attributable to Owner
Total Profit Attributable to Non-controlling Interest
XIV Earnings per share [nominal value of share Rs. 100/- per share]
(1) Basic
(2) Diluted","28
29
30
31
32
33
34
35
36","869.18
25.09","1 ,631.06
6.38","1 ,537.61
1 4.19","9 67.96
2.32"
,,8 94.27,"1 ,637.43","1 ,551.80",9 70.28
,,"652.26
(86.12)
68.53
46.31
28.85
72.85","965.30
(26.79)
130.87
119.10
8 2.04
167.83","953.09
(3.67)
126.41
111.07
94.18
145.16","6 45.92
(67.49)
89.18
48.13
57.93
1 24.11"
,,7 82.68,"1 ,438.35","1 ,426.25",8 97.78
,,"1 11.59
31.54
2 .40
-","199.09
5 3.55
1 .27
-","125.55
41.99
(0.85)
0 .25","72.50
26.97
1.78
-"
,,3 3.94,5 4.82,41.40,28.75
,,"77.64
-
-
-","144.27
0.27
-
0.27","84.15
-
-
-","43.76
-
-
-"
,,7 7.64,144.54,84.15,43.76
,,"0 .70
-
-
-
-","0 .50
-
-
-
-","0 .39
-
-
-
-","0.17
-
-
-
-"
,,0 .70,0 .50,0 .39,0.17
,,7 8.35,144.77,84.54,43.92
,,78.71,142.24,89.24,-
,,(0.36),2 .54,(4.70),-
,,"2.82
2.82","5.43
5.43","10.54
10.54","6.16
6.16"
