Asset category,Estimated useful life (in years )
Building,30
Leasehold improvements,Over the lease period
Plant and equipment,3 – 20
Furniture,10
Freehold Vehicles,4 – 10
Freehold computers,3 – 6
Asset category,Estimated useful life (in years)
Acquired Software,1 – 7
