Particulars,"Balance at the
begining of the
current reporting
period","Changes in Equity
Share Capital due
to prior period
errors","Restated balance
at the beginning of
the current
reporting period","Changes in
equity share
capital during
the current
year","Balance at
the end of
the current
reporting
period"
As at 31 March 2023,6 8.64,-,6 8.64,2.87,71.51
As at 31 March 2024,7 1.51,-,7 1.51,60.97,132.48
As at 31 March 2025,1 32.48,-,1 32.48,0.61,133.09
As at 30 September 2025,1 33.09,-,1 33.09,51.45,184.54
