Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Cash and cash equivalents comprise (Refer note 13)
Balances with banks:
In current accounts
Cheques on hand
Cash on hand
Total cash and bank balances at end of the period/year","1.88
21.61
0.40","5.16
26.81
0.26","14.31
16.99
0.26","97.12
47.05
0.77"
,23.89,32.23,31.56,144.94
