Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Present value of unfunded obligation as at the end of the period/year
Unfunded net asset / (liability) recognized in Balance Sheet*",(158.42),(141.88),(114.42),(87.38)
,(158.42),(141.88),(114.42),(87.38)
