Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Present value of obligation at the
beginning of the period/year
Interest cost
Past service cost
Current service cost
Benefits paid
Actuarial (gain)/ loss on obligations
Present value of obligation at the end of the period/year*","141.88
2.41
-
5.31
(1.96)
10.78","114.42
8.13
-
17.36
(9.64)
11.61","87.38
6 .05
-
12.46
(13.85)
22.38","60.89
4.40
4.70
9.69
(6.41)
14.11"
,158.42,141.88,114.42,87.38
