Particulars,For the period/year ended,,,
,30 June 2025,31 March 2025,31 March 2024,31 March 2023
"(i) Construction / acquisition of any asset
(ii) Amount spent on CSR for purposes other than (i) above
(iii) Amount of excess CSR spent of earlier periods utilised for the period/year
(iv) Nature of CSR Activities
a. Community Healthcare including preventive healthcare
b. Education & Knowledge Enhancement
c. Animal Welfare
d. Armed Forces Veterans / War Widows
Total","-
8.10
2.40","-
2.60
12.66","-
1 0.40
3.09","-
-
-"
,1 0.50,15.26,1 3.49,-
