Particulars,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Opening balance
Add: Net profit for the period/year
Add: Fair Value gain on investment classified as FVTOCI
Less: Re-measurement loss on post employment benefit obligation (net of tax)
Less: Dividend on Equity Share
Less: Dividend on Preference Share
Closing balance","5,035.99
461.96
-
8.07
447.08
-","3 ,776.63
1,494.34
-
8 .69
2 26.29
-","3,057.76
905.03
-
16.75
169.41
-","2,282.71
849.29
6.04
10.56
58.20
11.52"
,"5,042.80","5 ,035.99","3,776.63","3,057.76"
