Particulars,Gross block,,,,,Depreciation/Amortization,,,,Net block,
,"As at
1 April 2022","Additions/
Adjustments","Transfer
from CWIP","Deductions/
Adjustments","As at
31 March 2023","As at
1 April 2022",For the year,"Deductions/
Adjustments","As at
31 March 2023","As at
31 March 2023","As at
31 March 2022"
"Freehold Land [Refer note (iii) & (iv)]
Building
Electric Installation
Office Equipment
Plant and Machinery
Furniture and Fixtures
Computers
Vehicle","81.79
639.35
146.74
15.71
694.71
86.89
16.85
23.92","-
1 61.03
0 .17
2 .87
1 34.15
1 0.99
2 1.54
7 3.35","-
0 .11
-
-
3 3.67
0 .46
-
-","-
-
-
-
3.08
-
-
11.44","81.79
800.49
146.91
18.58
859.45
98.34
38.39
85.83","-
82.59
11.53
7.47
55.70
11.85
7.28
7.28","-
41.54
9.57
2.07
38.25
6.55
3.22
9.10","-
-
-
-
0.07
-
-
4.75","-
124.13
21.10
9.54
93.88
18.40
10.50
11.63","81.79
676.36
125.81
9.04
765.57
79.94
27.89
74.20","81.79
556.76
135.21
8.24
639.01
75.04
9.57
16.64"
Total,"1,705.96",4 04.10,3 4.24,14.52,"2,129.78",183.70,110.30,4.82,289.18,"1,840.60","1,522.26"
