Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Power and fuel
Rent
Repairs and maintenance - others
Repair to building
Repair to machinery
Business promotion expenses
Corporate social responsibility expenditure (Refer note 48)
Donation*
Testing charges
Representative expenses
Travel and conveyance
Rates and taxes
Freight and forwarding
Training expense
Printing & stationery
Communication, broadband and internet expenses
Provision for expected credit loss
Bad debts written off
Legal and professional charges
Insurance
Payment to auditor (Refer note below)
Sale commission to CFA & Distributors
Commission to KMP (Refer note 41)
Loss on sale/disposal of fixed assets
Miscellaneous expenses
Total other expenses","15.94
0.05
6.47
0.16
9.48
2 62.12
10.50
-
42.92
1 53.17
1 18.79
0.82
18.63
4.84
26.23
0.93
0.56
0.21
3 94.33
3.09
1.32
52.89
2.82
1.69
7.46","60.33
0.06
28.63
0.66
36.57
1,045.36
15.26
-
116.18
546.22
276.66
1.13
66.20
22.48
80.26
3.47
-
0.64
1,179.59
14.61
3.71
187.63
16.31
7.05
28.86","5 6.58
0.06
2 4.29
4.44
3 5.86
9 03.01
1 0.40
1 00.00
8 2.07
5 04.70
2 27.79
1.19
6 0.07
1 3.20
8 9.62
2.56
-
0.21
9 86.56
2 2.33
3.95
1 67.24
3 8.80
1 2.05
2 8.48","39.65
0.18
15.69
0.88
29.83
850.41
-
-
61.69
465.30
204.69
0.93
67.21
15.97
75.71
2.30
0.31
1.90
875.81
5.61
3.15
148.09
19.40
0.20
18.55"
,"1 ,135.42","3,737.87","3 ,375.46","2,903.46"
