Particulars,Non current,,,
,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Provision for employee benefits (Refer note 40)
(i) Provision for gratuity (unfunded)
(ii) Provision for leave encashment (unfunded)
Provision for expiry and breakage sales return
Total provisions","151.87
60.31
201.98","1 35.98
5 4.96
1 95.20","109.55
44.65
166.09","76.53
28.19
143.33"
,414.16,3 86.14,320.29,248.05
