Particulars,Current,,,
,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Provision for employee benefits (Refer note 40)
(i) Provision for gratuity (unfunded)
(ii) Provision for leave encashment (unfunded)
Provision for expiry and breakage sales return
Total provisions","6.55
7.01
275.69","5 .90
6 .24
2 61.72","4.87
5.38
224.96","10.85
3.81
169.78"
,289.25,2 73.86,235.21,184.44
