As at 31 March 2023,"Carrying
value",Fair value,,
,,Level 1,Level 2,Level 3
"Financial assets:
Amortised cost* :
Other financial assets
Trade receivables
Cash and cash equivalents
Bank balances other than cash and cash equivalents
Loans
Investment measured at cost:
Investment in equity shares and Compulsory Convertible
Preference Shares (CCPS)
Investment in equity shares
Fair value through other comprehensive income:
Investment in equity shares
Fair value through profit or loss:
Investments in Mutual Funds
Investments in Commodities
Financial liabilities:
Amortised cost *:
Borrowings
Trade payables
Lease liabilities
Other financial liabilities","158.08
869.91
144.94
622.02
4.38
78.72
175.82
0.13
59.69
0.61
23.31
943.70
256.29
84.84","-
-
-
-
-
-
-
-
5 9.69
0 .61
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
0 .13
-
-
-
-
-
-"
