Particulars,Gross block,,,,Amortization,,,,Net block,
,"As at
1 April 2023","Additions/
Adjustments","Deductions/
Adjustments","As at
31 March 2024","As at
1 April 2023",For the year,"Deductions/
Adjustments","As at
31 March
2024","As at
31 March 2024","As at
31 March 2023"
"Brands / License Fees (Refer note ii & iii below)
Software
Total","420.89
12.72","2 ,066.61
8 .10","-
-","2,487.50
20.82","420.89
7.38","150.18
2.94","-
-","571.07
10.32","1,916.43
10.50","-
5.34"
,433.61,"2 ,074.71",-,"2,508.32",428.27,153.12,-,581.39,"1,926.93",5.34
