Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Salaries, wages, bonus and other allowances
Contribution to Provident Fund and ESI
Gratuity expenses (Refer note 40)
Staff welfare expenses
Total employee benefits expense","9 26.38
26.31
7.72
14.00","3,281.90
102.04
25.49
51.99","2 ,802.74
9 6.45
1 8.51
3 5.97","2,416.75
88.85
18.79
23.32"
,9 74.41,"3,461.42","2 ,953.67","2,547.71"
