Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Depreciation on Tangible Assets / Amortization on ROU Assets (Refer note 5)
Amortization on Intangible Assets (Refer note 7)
Total depreciation and amortization expenses","36.98
52.20","153.89
217.71","1 29.66
1 53.12","110.30
90.73"
,89.18,371.60,2 82.78,201.03
