Particulars,"As at
1 April 2022",Cash Flows,Non - Cash changes,,"As at
31 March 2023"
,,,Interest cost,"Addition in
liability (on
account of new
lease contracts)",
"Long term borrowings (Including
current maturities)
Short term borrowings
Lease liabilities
Interest accrued
Total","316.71
20.67
126.67
1.61","(316.71)
2 .64
(35.36)
(28.32)","-
-
15.43
27.00","-
-
149.55
-","-
2 3.31
2 56.29
0 .29"
,465.66,(377.75),42.43,149.55,279.89
