Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Interest on term loan
Interest on overdraft against fixed deposits
Interest on trade deposits
Finance charges payable under finance leases
Other borrowing costs
Interest expense on liability component of 0.01% compulsory
convertible non cumulative preference shares
Total finance costs","9.69
4.21
-
5.47
0.51
-","61.66
18.85
-
23.08
2.46
-","1 01.07
1 3.88
-
2 3.86
5.56
-","2.32
20.99
0.29
15.43
3.40
0.25"
,19.88,106.05,1 44.37,42.68
