Particulars,"As at
30 June 2025","As at
31 March
2025","As at
31 March 2024","As at
31 March
2023"
"Number of units :
SBI Banking & PSU Fund*
Total
Amount (Book Value) :
SBI Banking & PSU Fund*
Total",-,-,-,"22,624.74"
,-,-,-,"22,624.74"
,-,-,-,50.00
,-,-,-,50.00
