Particulars,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Total outstanding dues of micro enterprises and small enterprises
Total outstanding dues of other than micro enterprises and small enterprises
Total trade payables","40.33
1,149.55","2 9.14
1 ,406.09","42.85
1,100.10","43.30
900.40"
,"1,189.88","1 ,435.23","1,142.95",943.70
