Particulars,"Equity
component of
0.01%
Compulsory
Convertible
Non cumulative
Preference
Shares",Reserve and surplus,,Total
,,"Securities
Premium","Retained
earnings",
"Balance as at 1 April 2025
Profit for the period
Dividends*
Remeasurement of net defined employee benefit liability
(net of tax)","-
-
-
-","415.84
-
-
-","5,035.99
4 61.96
(447.08)
(8.07)","5,451.83
461.96
(447.08)
(8.07)"
Balance as at 30 June 2025,-,415.84,"5,042.80","5,458.64"
"*Cashdividenddeclaredfortheyear2024-25onequitysharesatRs.7.31pershareduringtheperiod30June2025(declared
fortheyear2023-24paidonequitysharesatRs.3.70pershareduringtheyear31March2025,dividenddeclaredfortheyear
2022-23paidonequitysharesRs.2.77pershareintheyear2023-24anddividenddeclaredfortheyear2021-22paidonequity
and compulsory convertible preference shares Rs.1.14 per share in the year 2022-23).
See accompanying notes forming part of the restated consolidated financial information
As per our report of even date For and on behalf of the Board of Directors
For Deloitte Haskins and Sells LLP CORONA Remedies Limited (formerly known as CORONA
Chartered Accountants Remedies Private Limited)
Hardik Sutaria Nirav Mehta Ankur Mehta
Partner Managing Director & CEO Joint Managing Director
DIN: 01644041 DIN: 00385547
Bhavin Bhagat Chetna Dharajiya
Chief Financial Officer Company Secretary
M.No. A20835
Place: Ahmedabad Place: Ahmedabad
Date: 26 August 2025 Date: 26 August 2025",,,,
