"Addition to Property, plant & equipment and Intangible assets","For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"In India
- Tangible
- Intangible
Outside India
- Tangible
- Intangible
Total Addition to Property, plant & equipment and Intangible assets","65.71
0.30
-
-","244.56
2.32
-
-","216.88
2,074.71
-
-","438.34
0.77
-
-"
,66.01,246.88,"2,291.59",439.11
