Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Borrowings (current and non current)
Less: Cash and bank balances
Less: Current investments
Less: Other financial asset (fixed deposits)
Net (cash) / net debt (i)
Equity
Total equity (ii)
Adjusted net debt to total equity ratio (i)/ (ii)","1,066.48
(1,186.06)
-
(60.41)","626.95
(692.74)
-
(0.61)","1,341.42
(699.03)
-
(21.19)","23.31
(766.96)
(59.69)
(149.13)"
,(179.99),(66.40),6 21.20,(952.47)
,"6,070.24","6,063.43","4,804.07","4,085.20"
,"6,070.24","6,063.43","4,804.07","4,085.20"
,-,-,0.13,-
