Particulars,Outstanding for following periods from due date as on 30 June 2025,,,,,,
,Not Due,"Less than 6
Months","6 Months to 1
Year",1 to 2 Years,2 to 3 Years,"More than 3
Years",Total
"(i) Undisputed Trade Receivables-considered good
(ii) Undisputed Trade Receivables-which have
significant increase in credit risk
(iii) Undisputed Trade Receivables-credit impaired
(iv) Disputed Trade Receivables-considered good
(v) Disputed Trade Receivables-which have
significant increase in credit risk
(vi) Disputed Trade Receivables-credit impaired
Less: Allowance for credit loss
Total","1,400.51
-
-
-
-
-
-","104.58
-
-
-
-
-
-","3 .17
-
0.11
-
-
-
(0.11)","0.43
-
0.45
-
-
-
(0.51)","-
-
-
-
-
-
-","-
-
1.21
-
-
-
( 1.21)","1 ,508.69
-
1 .77
-
-
-
(1.83)"
,"1,400.51",104.58,3 .17,0.37,-,-,"1 ,508.63"
