Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March
2024","Year ended
31 March
2023"
"Office Equipment
Plant and Machinery
Furniture and Fixtures
Computers","0.05
1.55
-
-","0.56
32.24
0.54
-","0.00
50.11
2.41
0.22","0.30
63.57
4.19
0.19"
Total,1.60,33.34,52.74,68.25
