Particulars,"As at
1 April 2025",Cash Flows,Non - Cash changes,,"As at
30 June 2025"
,,,Interest cost,"Addition in
liability (on
account of new
lease contracts)",
"Long term borrowings (Including
current maturities)
Short term borrowings
Lease liabilities
Interest accrued
Total","520.00
106.95
235.36
4.70","(90.00)
529.53
(12.36)
( 17.46)","-
-
5 .47
1 4.41","-
-
5.34
-","4 30.00
6 36.48
2 33.81
1 .65"
,867.01,409.71,19.88,5.34,"1,301.94"
