Particulars,"For the three
months period
ended
30 June 2025","Year ended
31 March 2025","Year ended
31 March 2024","Year ended
31 March 2023"
"Interest income
- on fixed deposits
- on security deposit
Income from sale of Investments (mutual funds)
Fair valuation adjustments of Investments designated as
fair value through profit and loss account (FVTPL)
Miscellaneous income
Net gain on foreign currency transactions and translation
Expected credit loss written back
Liabilities written back
Total other income","14.49
0.08
-
0.13
3.30
2.06
-
0.11","43.88
0.30
-
0.20
6 .28
6.69
0.11
1.92","4 6.39
0.26
2.42
0.14
7.03
4.87
1.53
1.93","59.56
0.19
1.62
0.84
2.12
5.62
-
0.56"
,20.17,59.38,6 4.57,70.51
