Brand,,,Domestic sales in,,"Contribution to domestic sales in
MAT June 2025 (%)",,Sub-group ranking,
,,,MAT June 2025,,,,during MAT June,
,,,(₹ in millions),,,,2025,
,Gynaecology,,,,,,,
