Particulars,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Balances with banks:
In current accounts
Cheques on hand
Cash on hand
Total cash and cash equivalents","1 .88
2 1.61
0 .40","5.16
26.81
0.26","14.31
16.99
0.26","97.12
47.05
0.77"
,2 3.89,32.23,31.56,144.94
