Particulars,"Change in
GBP rate","Effect on profit /
loss
before tax"
"Jun-25
Mar-25
Mar-24
Mar-23","+5%
-5%
+5%
-5%
+5%
-5%
+5%
-5%","0.05
(0.05)
-
-
-
-
-
-"
