Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,,-31.0,,31.0,,,,,,,
2024,,-31.0,,31.0,,30.0,,,,,0.0
2025,,-31.0,,31.0,,30.0,,,,,0.0
