Particulars,Non-current Borrowings*,Non-current Borrowings*,Non-current Borrowings*,Finance Lease Liabilities,Current borrowings
"Opening balance as at April 01, 2023
Cash flows during the year
Non-cash changes due to:
Acquisitions and unwinding finance cost under finance lease
Interest on borrowings
Variation in exchange rates
Transaction costs on borrowings",,,,"2 ,126.40
( 724.70)
9 00.60",
"Closing balance as at March 31, 2024",-,-,-,"2 ,302.30",-
