(i),Short Term Employee Benefits,,,,,
a.,"Payment to Chairman cum Managing Directors,
Whole Time Directors, Chief Financial Officer
and Company Secretary",16.50,12.50,27.10,26.40,25.30
b.,Sitting Fees to Independent Directors,0.30,0.80,1.06,1.70,1.70
(ii),Post-Employment Benefits,0.00,0.00,0.00,3.90,1.60
(iii),Other Long-term Benefits,0.00,0.00,0.00,0.00,0.00
(iv),Termination Benefits,0.00,0.00,0.00,0.00,0.00
(v),Share Based Payment,0.00,0.00,0.00,0.00,0.00
,TOTAL,16.80,13.30,28.16,32.00,28.60
