Particulars,Number of Share,Amount
"Balance as at April 01, 2022","46,570,000",46570.00
Change during the year 2022-23,-,-
"Balance as at March 31, 2023","46,570,000",46570.00
Change during the year 2023-24,-,-
"Balance as at March 31, 2024","46,570,000",46570.00
Change during the year 2024-25,-,-
"Balance as at March 31, 2025","46,570,000",46570.00
