,"DBO on base assumptions as at March
31","3 2,018.10","32,911.50","32,166.20"
A,Discount Rate,,,
,Discount Rate as at March 31,6.60%,7.00%,7.30%
1,"EffectonDBOdueto0.5%increasein
Discount Rate",(987.70),(991.10),(960.80)
,Percentage Impact,-3%,-3%,-3%
2,"EffectonDBOdueto0.5%decreasein
Discount Rate","1,052.70","1,054.30","1,020.00"
,Percentage Impact,3%,3%,3%
,"DBO on base assumptions as at March
31","9 ,232.70","9,216.70","7,663.90"
A,Discount Rate,,,
,Discount Rate as at March 31,6.60%,7.00%,7.30%
1,"EffectonDBOdueto0.5%increasein
Discount Rate",(380.90),(362.00),(298.10)
,Percentage Impact,-4%,-4%,-4%
2,"EffectonDBOdueto0.5%decreasein
Discount Rate",412.90,391.30,322.00
,Percentage Impact,4%,4%,4%
,"DBO on base assumptions as at March
31","8 ,104.40","7,586.00","7,058.80"
A,Discount Rate,,,
,Discount Rate as at March 31,6.60%,7.00%,7.30%
1,"EffectonDBOdueto0.5%increasein
Discount Rate",(444.60),(414.10),(387.90)
,Percentage Impact,-5%,-5%,-5%
2,"EffectonDBOdueto0.5%decreasein
Discount Rate",489.80,455.70,426.80
,Percentage Impact,6%,6%,6%
