,"followed the requisite
procedure.",
4,"Whether separate Escrow
Accounts for each mine has
been maintained in CIL and its
subsidiary companies, and the
Escrow Agreements /
Accounts were
modified/updated in
compliance of guidelines
issued by Ministry time to
time. Also examine the
utilization of the fund of the
account.","Yes, separate Mine-wise Escrow account against each
Mine Closure Plan is maintained with Bank of Baroda
and Union Bank of India according to guidelines issued
by Ministry of Coal.
The revised guidelines for preparation of mining plan and
mine closure plan for coal and lignite blocks 2025 were
issued on 31 January 2025 whereby all escrow
agreements are to be revised within one year after coming
into force of these guidelines i.e.31st January 2026.
No amount has been withdrawn from the Escrow account
during the financial year 2024-25. However, ₹ 22.142
million has been released from escrow account as per
order of Coal Controller Organization (CCO)."
6,"Whether any independent
Assessment/ Certification in","Independent assessment/certification in respect of
migration process of data from Coal-Net portal to SAP"
