,To be completed in,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years"
Projects in progress:,,,,
"Building (including water supply, roads and culverts)",,,,
"2 MTPA Bhojudih NLW Washery,2.5 mtpa Patherdih NLW, 2.5
MTPA MOONIDH",9 43.70,,,
Plant and Equipment,,,,
Feeder breaker at Jogtha,,,,31.10
"2 MTPA Bhojudih NLW Washery,2.5 mtpa Patherdih NLW, 2.5
MTPA MOONIDH","1 ,267.50",,,
Railway Sidings,,,,
"CHP cum SILO, Maheshpur",9 93.80,,,
"2 MTPA Bhojudih NLW Washery,2.5 mtpa Patherdih NLW, 2.5
MTPA MOONIDH","1 ,501.30",,,
Other Mining infrastructure/Development,,,,
"2 MTPA Bhojudih NLW Washery,2.5 mtpa Patherdih NLW, 2.5
MTPA MOONIDH","1 ,299.80",,,
Others,,,,
Total,"6 ,006.10",-,-,31.10
,To be completed in,,,
,Less than 1 year,1-2 years,2-3 years,"More than
3 years"
Projects in progress:,,,,
Total,-,-,-,-
