Lease Income,,,,,
"Income relating to variable lease payments that do not
depend on an index or a rate",,,,,
Total,,,,,
Lease Income,,,,,
"Income relating to variable lease payments that do not
depend on an index or a rate",,,,,
Total,,,,,
