,"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Site restoration provision on opening date,"6,926.50","5,796.10","5,796.10","5,281.00","4,833.50"
Addition of further Site restoration Provision,10.60,166.50,787.30,134.20,48.70
Add: Unwinding of Provision charged during the period,249.40,238.90,795.00,380.90,398.80
Less: Withdrawal during the period,86.50,430.40,451.90,-,-
Mine Closure Provision,"7,100.00","5,771.10","6,926.50","5,796.10","5,281.00"
