Particulars,No. of Shares,Amount
"Balance as at April 01, 2022","46,570,000","46,570.00"
Changes in Equity Share Capital during the Year,0,0.00
"Balance as at March 31, 2023","46,570,000","46,570.00"
Changes in Equity Share Capital during the Year,0,0.00
"Balance as at March 31, 2024","46,570,000","46,570.00"
Changes in Equity Share Capital during the Year,0,0.00
"Balance as at March 31, 2025","46,570,000","46,570.00"
