Particulars,Non-current Borrowings*,Non-current Borrowings*,Non-current Borrowings*,Finance Lease Liabilities,Current borrowings
"Opening balance as at April 01, 2022
Cash flows during the year
Non-cash changes due to:
Acquisitions and unwinding finance cost under finance lease
Interest on borrowings
Variation in exchange rates
Transaction costs on borrowings",,,,"2002.80
(429.70)
5 53.30",
"Closing balance as at March 31, 2023",-,-,-,"2 ,126.40",-
