Particulars,Six Months,Six Months,,,
,period ended,period ended,Fiscal 2025,,
,,,,Fiscal 2024,Fiscal 2023
,"September 30,","September 30,",,,
,2025,2024,,,
,(in ₹ million),,,,
"Plant & Machinery
(including. railway siding
and SILO)","1,392.60","1,361.58","1,483.60","4,197.00","4,348.10"
Solar Projects,322.50,682.28,"2,010.60",176.40,0.00
Land,25.50,131.00,495.10,288.70,189.50
Telecommunication,354.50,402.70,723.50,80.00,16.70
"Other Mining
Infrastructure
Development","2,663.60",642.60,"1,455.00","1,338.20","1,570.90"
Building,299.90,329.40,"1,330.50",623.80,673.70
"Exploration &
Evaluation of Assets","(1,753.90)",19.60,645.30,81.70,(117.70)
Office Equipment,57.80,27.00,82.40,131.70,51.50
Vehicles,5.40,184.60,266.80,644.10,395.80
Furniture & Fixtures,12.00,29.00,52.70,38.10,28.90
"Change in Capital
Advance",45.40,859.50,688.00,"2,785.20","2,507.40"
"Stripping Activity
Adjustment",0.00,0.00,"7,722.90","1,851.70",0.00
"Land Reclamation/Site
Restoration",0.00,35.70,"1,153.70",113.40,114.10
Surveyed off assets,10.40,19.40,39.30,25.30,86.40
Total,"3,435.70","4,724.36","18,149.40","12,375.30","9,865.30"
