Sl. No,Particulars,Observation
1,"Whether the company has system in place to
process all the accounting transactions through
IT system? If yes, the implications of
processing of accounting transaction outside
IT system on the integrity of the accounts along
with the financial implications, if any, may be
stated.","Yes, the Company has migrated to SAP,
an ERP application software, from its
legacy system Coal-Net to process all its
accounting transactions with effect from
1st August 2021. As per the information
and explanations provided to us by the
management, this application covers
mostly all the functionalities to run the
business process smoothly and
efficiently to fulfil the intense
requirement of the Company."
2,"Whether coal stock measurement was done
based on Yellow Book? Whether physical
stock measurement reports accompanied by
contour map in all cases? Whether approval of
the competent authority was obtained for new
heap, if any, created during the year.","As per explanation and information
given to us, the coal stock measurements
of the heaps are being done as per the
Yellow Book. Coal Stock dumps are
being created by the collieries at prefix
locations for which contour plans are
prepared and approved by competent
authority in advance, i.e. prior to starting
dumping of coal. However, in some of
the cases, small stocks whose
geometrical shape are cumbersome and
not fit for measurement using contour"
Sl. No,Particulars,Observation
1,"Whether the company has system in place to
process all the accounting transactions through
IT system? If Yes, the implications of
processing of accounting transaction outside","Yes, the Company has migrated to SAP,
an ERP application software, from its
legacy system Coal-Net to process all its
accounting transactions with effect from"
