,"Balance as on April 01,
2023","Recognised/ (reversed)
in profit and loss during
the year","Recognised in other
comprehensive income
during the year","Balance as on
April 01, 2024","Recognised/
(reversed) in
profit and loss
during the year","Recognis
ed in
other
compreh
ensive
income
during
the year","Balance as
on March
31, 2025"
(A) Deferred Tax Assets:,,,,,,,
"Provision for Doubtful Advances, Claims and Debts","1 ,873.20",1 06.50,-,"1 ,979.70","( 1,052.40)",,9 27.30
Employee Benefits,"6 ,830.70","( 3,109.50)",-,"3 ,721.20",( 165.60),,"3 ,555.60"
Others (Lease Liabilities and Site Restoration),"3 ,969.90","( 1,443.20)",-,"2 ,526.70",( 196.60),,"2 ,330.10"
TOTAL OF (A),"1 2,673.80","( 4,446.20)",-,"8 ,227.60","( 1,414.60)",-,"6 ,813.00"
(B) Deferred Tax Liability:,,,,,,,
"Related to Property, Plant and Equipment and Intangible assets","1 ,103.80",1 07.50,-,"1 ,211.30",3 14.50,,"1 ,525.80"
Others,"1 ,087.30","( 1,084.90)",-,2 .40,( 2.40),,( 0.00)
TOTAL OF (B),"2 ,191.10",( 977.40),-,"1 ,213.70",3 12.10,-,"1 ,525.80"
Net Deferred Tax Asset/ (Deferred Tax Liability) (C= A-B),"1 0,482.70","( 3,468.80)",-,"7 ,013.90","( 1,726.70)",-,"5 ,287.20"
D. Re measurement of Defined benefit Plan DTL/DTA,-,-,1 56.90,1 56.90,,1 84.20,3 41.10
Net Deferred Tax Asset/ (Deferred Tax Liability) (E=C+D),"1 0,482.70","( 3,468.80)",1 56.90,"7 ,170.80","( 1,726.70)",1 84.20,"5 ,628.30"
