Sl No.,Particulars,Central Government,"State Government and
local authorities","Central Public Sector
Enterprises",Others,Total
1,"Opening as at April
01, 2023","16,219.30","12,756.80",0.00,"18,808.80","47,784.90"
2,"Additions during the
year",718.30,"2,764.20",0.00,"2,238.40","5,720.90"
3,"Claims settled during
the year",,,,,
a.,From Opening Balance,"4,860.90","3,912.90",0.00,213.10,"8,986.90"
b.,"Out of addition during
the year",,,,,0.00
4,"Closing as at March
31, 2024","12,076.70","11,608.10",0.00,"20,834.10","44,518.90"
