Contingent Liability,,,,,,
1,"Central Government
Income Tax
Sales Tax: CST
Central Excise
Service Tax","3844.40
1527.40
885.30
54.50","6597.30
2760.90
524.00
66.40","5785.30
1566.00
775.50
51.20","6597.50
2760.90
2651.90
66.40","8893.80
4617.90
2658.10
49.50"
,Sub-Total,6311.60,9948.60,8178.00,12076.70,16219.30
2,"State Government and local authority
Sales Tax: VAT
GST
Royalty
Holding Tax
Electricity Duty
Others Statutory Dues (RE/PE Cess)","1689.90
2180.90
558.80
2522.30
231.70
82.80","2457.00
1103.00
4712.50
2522.30
314.20
99.40","1925.40
1103.00
4913.30
2522.30
266.00
87.50","2457.00
1103.00
5112.20
2522.30
314.20
99.40","4474.10
1880.10
3444.40
2522.30
301.30
134.60"
,Sub-Total,7266.40,11208.40,10817.50,11608.10,12756.80
3,Central Public Sector Enterprises,,,,,
,Sub- Total,0.00,0.00,0.00,0.00,0.00
4,"Others
Suits against the Company under litigation
Arbitration proceedings
Misc (Land)","9591.80
11970.10
846.00","10028.50
11969.70
823.50","10076.60
11969.70
845.60","9093.10
11140.80
600.20","6899.20
11297.80
611.80"
,Sub-Total,22407.90,22821.70,22891.90,20834.10,18808.80
,Grand Total,35985.90,43978.70,41887.40,44518.90,47784.90
