Particular,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the
year / period","Net Carrying
Value at the
closing of the
year",
"Land
Building
Plant and Equipment
Furniture and Fixtures
Vehicles
Office Equipment
Telecommunication
Railway Sidings
Rail Corridor
Intangible Assets",,,,,
Particular,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the
year / period","Net Carrying
Value at the
closing of the
year",
"Land
Building
Plant and Equipment
Furniture and Fixtures
Vehicles
Office Equipment
Telecommunication
Railway Sidings
Rail Corridor
Intangible Assets",,,,,
Particular,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the
year / period","Net Carrying
Value at the
closing of the
year",
"Land
Building
Plant and Equipment
Furniture and Fixtures
Vehicles
Office Equipment
Telecommunication
Railway Sidings
Rail Corridor
Intangible Assets",,,,,
Particular,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the
year / period","Net Carrying
Value at the
closing of the
year",
"Land
Building
Plant and Equipment
Furniture and Fixtures
Vehicles
Office Equipment
Telecommunication
Railway Sidings
Rail Corridor
Intangible Assets",,,,,
Particular,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the
year / period","Net Carrying
Value at the
closing of the
year",
"Land
Building
Plant and Equipment
Furniture and Fixtures
Vehicles
Office Equipment
Telecommunication
Railway Sidings
Rail Corridor
Intangible Assets",,374,,,
