,FVTPL,Amortized cost,FVTPL,Amortized cost,FVTPL,Amortized cost
Financial Assets,,,,,,
Investments:,,,,,,
Secured Bonds,0.00,0.00,0.00,0.00,0.00,0.00
Co-operative Shares,0.00,0.00,0.00,0.00,0.00,0.00
Mutual Fund/ ICD,4.10,0.00,"2,665.20",0.00,"4,997.20",0.00
