Particulars,Outstanding for following periods from transaction date,,,,
,Less than 1 year,1-2 years,2-3 years,"More than 3
years",Total
"(i) MSME
(ii) Others
(iii) Disputed dues - MSME
(iv)Disputed dues - Others
(v)Unbilled dues","57.50
27,270.70",471.30,298.70,552.20,"5 7.50
28,592.90
-
-
-"
Total,"2 7,328.20",471.30,298.70,552.20,"28,650.40"
Particulars,Outstanding for following periods from transaction date,,,,
,Less than 1 year,1-2 years,2-3 years,"More than 3
years",Total
"(i) MSME
(ii) Others
(iii) Disputed dues - MSME
(iv)Disputed dues - Others
(v)Unbilled dues","33.70
10,464.10",410.20,93.50,795.80,"3 3.70
11,763.60
-
-
-"
Total,"1 0,497.80",410.20,93.50,795.80,"11,797.30"
Particulars,Outstanding for following periods from transaction date,,,,
,Less than 1 year,1-2 years,2-3 years,"More than 3
years",Total
"(i) MSME
(ii) Others
(iii) Disputed dues - MSME
(iv)Disputed dues - Others
(v)Unbilled dues","236.30
20,214.60
-
-
-","-
307.90
-
-
-","-
235.70
-
-
-","-
738.20
-
-
-","2 36.30
21,496.40
-
-
-"
Total,"2 0,450.90",307.90,235.70,738.20,"21,732.70"
Particulars,Outstanding for following periods from transaction date,,,,
,Less than 1 year,1-2 years,2-3 years,"More than 3
years",Total
"(i) MSME
(ii) Others
(iii) Disputed dues - MSME
(iv)Disputed dues - Others
(v)Unbilled dues","87.10
10,271.30
-
-
-","-
860.00
-
-
-","-
378.30
-
-
-","-
738.60
-
-
-","8 7.10
12,248.20
-
-
-"
Total,"1 0,358.40",860.00,378.30,738.60,"12,335.30"
Particulars,Outstanding for following periods from transaction date,,,,
,Less than 1 year,1-2 years,2-3 years,"More than 3
years",Total
"(i) MSME
(ii) Others
(iii) Disputed dues - MSME
(iv)Disputed dues - Others
(v)Unbilled dues","135.70
7,266.80
-
-
-","-
952.70
-
-
-","-
185.00
-
-
-","-
588.90
-
-
-","1 35.70
8,993.40
-
-
-"
Total,"7 ,402.5038",5 952.70,185.00 588.90,,"9,129.10"
