Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,36.18,0.52,,,,,,1.4372581536760642,,,
2024,40.5041,0.28,,,65512.3053554,,,0.6912880424450859,,11.951630735212838,-46.153846153846146
2025,19.09,0.06,,,60597.4,,,0.3143006809848088,,-52.86896882044041,-78.57142857142858
