,Name of Corporate Promoter,,,Number of Equity Shares of face,,,Average Cost of Acquisition per,
,(Promoter Selling Shareholder),,,value ₹10 each,,,Equity Shares (in ₹),
Coal India Limited,,,"4,657,000,000",,,10.00,,
